8265,0.453,0.704
8333,0.46,0.771
8403,0.473,0.84
8475,0.4746,0.903
8547,0.4656,0.978
8621,0.4563,1.07
8696,0.4309,1.17
8772,0.3915,1.32
8850,0.3563,1.53
8929,0.3705,1.85
9009,0.5846,2.27
9091,1.043,2.55
9174,1.616,2.63
9302,2.25,2.26
9524,2.76,1.65
9756,2.839,0.962
10000,2.694,0.509
10260,2.448,0.231
10530,2.224,0.102
10810,2.038,0.046
11110,1.869,0.0506
11360,1.784,0.0775
11630,1.69,0.116
11760,1.652,0.152
11900,1.619,0.204
12050,1.615,0.267
12200,1.658,0.323
12350,1.701,0.341
12500,1.753,0.343
12660,1.789,0.314
12820,1.811,0.275
12990,1.81,0.227
13160,1.779,0.192
13330,1.756,0.177
13790,1.698,0.157
14290,1.643,0.157
14810,1.598,0.168
15380,1.555,0.182
16000,1.502,0.202
16670,1.45,0.235
17240,1.401,0.264
17860,1.337,0.298
18520,1.235,0.341
18970,1.161,0.377
19230,1.05,0.415
19610,0.8857,0.524
20000,0.6616,0.822
20410,0.5777,1.28
20830,0.7517,1.86
21050,1.00199,2.22
21280,1.484,2.39
21740,2.308,2.29
22730,2.936,1.29
23810,2.912,0.738
25000,2.739,0.397
26670,2.537,0.199
28570,2.388,0.13
30770,2.284,0.092
33330,2.21,0.067
36360,2.147,0.056
40000,2.1,0.046
100000,1.967,0.0159
125000,1.962,0.0119
166700,1.959,0.00862
250000,1.957,0.00696
500000,1.955,0.00796
